,player_id,match_id,team_id,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors
0,e09f279b,3adf2aa7,cd051869,FW,25-150,90,0,0,0,0,0,0,2,0.0,2,24,7,29.2,7,8,9,1,0,0,1,0,0,0,0
1,6afaebf2,3adf2aa7,cd051869,FW,22-006,85,1,1,0,0,1,0,1,0.0,1,24,1,4.2,0,12,12,1,0,0,1,0,1,2,0
2,82c215a0,3adf2aa7,cd051869,FW,22-056,5,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,0,0
3,8449d35e,3adf2aa7,cd051869,CM,23-095,90,4,3,2,1,1,1,1,100.0,0,21,9,42.9,5,7,9,1,0,0,1,1,5,0,0
4,2944f86f,3adf2aa7,cd051869,CM,23-224,79,1,0,0,1,0,0,2,0.0,2,20,3,15.0,11,7,2,1,0,0,1,1,2,0,0
5,407db0d5,3adf2aa7,cd051869,CM,20-169,11,2,2,1,1,0,0,1,0.0,1,5,3,60.0,4,1,0,1,0,0,1,1,3,2,0
6,df0a4c90,3adf2aa7,cd051869,DM,27-156,90,2,2,2,0,0,1,2,50.0,1,16,5,31.3,3,13,0,0,0,0,0,4,6,0,0
7,8a3c1dc7,3adf2aa7,cd051869,WB,24-036,90,4,4,2,1,1,1,1,100.0,0,20,6,30.0,9,9,2,2,1,0,1,0,4,2,0
8,1137759d,3adf2aa7,cd051869,WB,24-192,90,6,2,5,1,0,4,5,80.0,1,25,6,24.0,18,5,2,2,1,0,1,1,7,0,0
9,e541326e,3adf2aa7,cd051869,CB,28-076,90,1,1,1,0,0,1,3,33.3,2,11,3,27.3,10,1,0,2,2,0,0,0,1,7,0
10,172e52d8,3adf2aa7,cd051869,CB,30-181,90,1,1,0,1,0,0,0,,0,5,2,40.0,3,2,0,1,0,0,1,2,3,7,0
11,a8c0acb7,3adf2aa7,cd051869,CB,23-118,70,1,0,1,0,0,1,2,50.0,1,6,2,33.3,6,0,0,0,0,0,0,0,1,3,0
12,30db8574,3adf2aa7,cd051869,CB,22-218,20,1,1,1,0,0,0,0,,0,4,2,50.0,4,0,0,0,0,0,0,0,1,1,0
13,98ea5115,3adf2aa7,cd051869,GK,25-332,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,31822f8c,3adf2aa7,18bb7c10,FW,20-041,58,0,0,0,0,0,0,0,,0,12,5,41.7,0,1,11,0,0,0,0,0,0,0,0
1,bc7dc64d,3adf2aa7,18bb7c10,FW,19-342,32,1,0,0,1,0,0,1,0.0,1,4,0,0.0,0,3,1,1,0,0,1,0,1,0,0
2,48a5a5d6,3adf2aa7,18bb7c10,LW,20-056,70,1,1,0,0,1,1,2,50.0,1,13,3,23.1,3,4,6,3,0,0,3,0,1,0,0
3,c5bdb6e3,3adf2aa7,18bb7c10,"RW,LW",21-246,20,1,0,0,1,0,0,0,,0,8,2,25.0,2,5,1,0,0,0,0,1,2,0,0
4,57e3f0c7,3adf2aa7,18bb7c10,"RW,LW",26-076,90,2,1,0,1,1,1,1,100.0,0,11,4,36.4,3,3,5,1,0,0,1,0,2,1,1
5,17695062,3adf2aa7,18bb7c10,AM,21-016,90,0,0,0,0,0,0,0,,0,11,5,45.5,1,4,6,0,0,0,0,1,1,0,0
6,e61b8aee,3adf2aa7,18bb7c10,DM,28-320,90,2,1,1,0,1,0,1,0.0,1,14,6,42.9,6,3,5,2,0,0,2,4,6,0,0
7,1b4f1169,3adf2aa7,18bb7c10,DM,21-295,90,1,1,0,1,0,0,1,0.0,1,7,1,14.3,2,3,2,0,0,0,0,5,6,0,0
8,fce2302c,3adf2aa7,18bb7c10,LB,24-069,90,0,0,0,0,0,0,1,0.0,1,6,3,50.0,0,2,4,1,0,0,1,0,0,1,0
9,aa54ec6f,3adf2aa7,18bb7c10,CB,27-347,90,1,0,1,0,0,1,2,50.0,1,4,2,50.0,2,1,1,1,0,0,1,4,5,8,0
10,35e413f1,3adf2aa7,18bb7c10,CB,23-309,90,1,1,0,1,0,1,2,50.0,1,4,1,25.0,0,4,0,2,0,0,2,2,3,3,0
11,dc6f5bdd,3adf2aa7,18bb7c10,RB,26-205,80,1,0,1,0,0,0,0,,0,10,3,30.0,7,3,0,3,0,0,3,1,2,2,1
12,a65c844b,3adf2aa7,18bb7c10,RB,21-199,10,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,0,0,0,0,1,1,2,0
13,2628fd2b,3adf2aa7,18bb7c10,GK,29-162,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,58eee997,e62685d4,19538871,"FW,RW",19-317,90,2,0,1,0,1,1,1,100.0,0,16,3,18.8,2,7,7,1,0,0,1,1,3,0,0
1,867239d3,e62685d4,19538871,LW,28-152,74,1,0,0,1,0,1,2,50.0,1,26,5,19.2,1,14,11,2,1,0,1,2,3,0,0
2,8b788c01,e62685d4,19538871,FW,25-252,16,0,0,0,0,0,0,0,,0,5,2,40.0,1,1,3,0,0,0,0,0,0,0,0
3,c931d9f9,e62685d4,19538871,RW,23-277,74,3,3,0,3,0,1,1,100.0,0,19,4,21.1,3,8,8,2,0,0,2,0,3,1,0
4,dbf053da,e62685d4,19538871,LW,21-142,16,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,0,0,0,0,0,0,0,0
5,507c7bdf,e62685d4,19538871,AM,26-340,90,0,0,0,0,0,0,3,0.0,3,21,5,23.8,2,12,7,2,0,0,2,0,0,0,0
6,b853e0ad,e62685d4,19538871,DM,28-162,90,0,0,0,0,0,0,1,0.0,1,23,4,17.4,3,17,3,1,0,0,1,4,4,1,0
7,d93c2511,e62685d4,19538871,DM,24-249,68,2,1,1,1,0,0,0,,0,6,2,33.3,2,3,1,2,0,0,2,1,3,3,0
8,eb7822d7,e62685d4,19538871,DM,33-013,22,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,0,0,0,0,2,2,3,0
9,9c94165b,e62685d4,19538871,LB,26-033,90,2,2,0,1,1,0,1,0.0,1,16,6,37.5,4,8,4,1,1,0,0,0,2,0,0
10,d8931174,e62685d4,19538871,CB,28-162,90,2,0,1,1,0,1,2,50.0,1,4,1,25.0,3,1,0,0,0,0,0,3,5,5,0
11,f5deef4c,e62685d4,19538871,CB,27-028,90,0,0,0,0,0,0,0,,0,3,2,66.7,0,2,1,1,0,0,1,3,3,10,0
12,9e525177,e62685d4,19538871,RB,23-261,90,0,0,0,0,0,0,0,,0,13,2,15.4,1,6,6,1,0,0,1,1,1,4,0
13,7ba6d84e,e62685d4,19538871,GK,30-280,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,93feac6e,e62685d4,5bfb9659,FW,27-343,76,1,1,1,0,0,1,1,100.0,0,15,3,20.0,2,6,7,0,0,0,0,0,1,0,0
1,6c17e046,e62685d4,5bfb9659,FW,22-214,14,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,0,0,0,0,0,0,0,0
2,1fb1c435,e62685d4,5bfb9659,AM,30-161,45,1,1,0,1,0,0,0,,0,7,2,28.6,0,6,1,0,0,0,0,0,1,0,0
3,24f59bb2,e62685d4,5bfb9659,LB,24-357,45,0,0,0,0,0,0,0,,0,7,1,14.3,5,2,0,0,0,0,0,3,3,1,0
4,aa849a12,e62685d4,5bfb9659,LM,24-267,68,1,1,1,0,0,1,2,50.0,1,21,5,23.8,5,13,3,0,0,0,0,2,3,2,0
5,f13d02a6,e62685d4,5bfb9659,RM,27-214,22,0,0,0,0,0,0,2,0.0,2,9,2,22.2,1,5,3,0,0,0,0,0,0,0,0
6,3423f250,e62685d4,5bfb9659,"RM,LM",24-243,90,3,1,2,1,0,1,3,33.3,2,21,5,23.8,6,11,4,3,0,0,3,1,4,0,0
7,282679b4,e62685d4,5bfb9659,"DM,AM",31-062,90,1,0,0,0,1,1,3,33.3,2,28,2,7.1,6,15,7,0,0,0,0,0,1,0,0
8,ea6bc03a,e62685d4,5bfb9659,DM,25-028,90,3,2,1,2,0,0,2,0.0,2,21,7,33.3,8,12,1,2,0,0,2,5,8,3,0
9,67ca8566,e62685d4,5bfb9659,"LB,DM",30-117,90,1,0,0,1,0,0,5,0.0,5,19,9,47.4,10,7,2,1,1,0,0,2,3,2,0
10,dc64b8b3,e62685d4,5bfb9659,CB,29-349,90,6,3,4,2,0,4,5,80.0,1,15,7,46.7,8,7,0,3,1,0,2,2,8,3,0
11,f4d296e4,e62685d4,5bfb9659,CB,22-003,90,3,2,2,1,0,1,3,33.3,2,15,4,26.7,6,9,0,1,0,0,1,5,8,2,0
12,420d7c7d,e62685d4,5bfb9659,RB,29-354,90,4,2,4,0,0,3,7,42.9,4,22,7,31.8,13,7,2,2,1,0,1,1,5,5,0
13,6b625ac2,e62685d4,5bfb9659,GK,21-165,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,45963054,0b346a62,a2d435b3,FW,34-215,90,0,0,0,0,0,0,1,0.0,1,13,4,30.8,1,3,9,1,0,0,1,0,0,0,0
1,3ea50f67,0b346a62,a2d435b3,"LW,AM",23-248,71,0,0,0,0,0,0,0,,0,6,3,50.0,0,2,4,2,0,0,2,1,1,0,0
2,c92e1a31,0b346a62,a2d435b3,AM,24-315,19,0,0,0,0,0,0,0,,0,6,2,33.3,0,4,2,0,0,0,0,0,0,1,0
3,819aa8e7,0b346a62,a2d435b3,RW,28-022,61,0,0,0,0,0,0,2,0.0,2,15,3,20.0,3,8,4,2,0,0,2,1,1,0,0
4,1900032e,0b346a62,a2d435b3,CB,29-011,29,0,0,0,0,0,0,3,0.0,3,5,4,80.0,3,2,0,1,0,0,1,0,0,1,0
5,ee38d9c5,0b346a62,a2d435b3,AM,24-264,61,1,1,0,0,1,1,1,100.0,0,9,1,11.1,4,2,3,1,0,0,1,0,1,0,0
6,ae59b359,0b346a62,a2d435b3,AM,22-168,29,1,1,0,0,1,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,1,2,2,0
7,6b47c5db,0b346a62,a2d435b3,"CM,DM",24-241,90,4,4,2,2,0,2,7,28.6,5,23,7,30.4,9,10,4,3,0,0,3,2,6,2,0
8,56f7a928,0b346a62,a2d435b3,"CM,DM",24-099,90,4,3,2,2,0,3,5,60.0,2,9,5,55.6,1,4,4,2,2,0,0,1,5,2,0
9,fc027d02,0b346a62,a2d435b3,"LB,WB",20-065,90,2,1,1,1,0,1,4,25.0,3,11,4,36.4,3,4,4,2,2,0,0,4,6,4,0
10,21166ff4,0b346a62,a2d435b3,CB,25-083,90,1,1,0,1,0,0,0,,0,6,1,16.7,2,3,1,2,1,0,1,1,2,3,0
11,1a4ef233,0b346a62,a2d435b3,CB,26-236,90,2,1,0,2,0,2,3,66.7,1,3,1,33.3,1,2,0,2,1,0,1,0,2,3,0
12,75a72a99,0b346a62,a2d435b3,"RB,WB",27-312,90,3,1,1,2,0,2,4,50.0,2,8,0,0.0,2,6,0,3,1,0,2,0,3,0,0
13,53af52f3,0b346a62,a2d435b3,GK,34-282,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,b561db50,0b346a62,8cec06e1,FW,30-101,90,0,0,0,0,0,0,0,,0,14,2,14.3,1,8,5,0,0,0,0,1,1,1,0
1,9a28eba4,0b346a62,8cec06e1,"LW,LM",25-201,90,1,1,0,0,1,0,0,,0,12,3,25.0,5,3,4,0,0,0,0,1,2,0,0
2,77e39b04,0b346a62,8cec06e1,RW,21-228,85,1,1,1,0,0,0,0,,0,21,3,14.3,6,12,3,1,0,0,1,2,3,0,0
3,32f60ed8,0b346a62,8cec06e1,"RW,RM",21-199,5,0,0,0,0,0,0,0,,0,2,0,0.0,1,0,1,1,0,0,1,0,0,0,0
4,f5a00fa4,0b346a62,8cec06e1,DM,34-340,65,2,1,1,1,0,2,2,100.0,0,15,6,40.0,5,10,0,0,0,0,0,4,6,1,0
5,5a7301ae,0b346a62,8cec06e1,DM,26-121,25,2,1,1,1,0,0,2,0.0,2,11,2,18.2,6,4,1,2,1,0,1,0,2,1,0
6,44bfb6c5,0b346a62,8cec06e1,DM,24-154,90,2,2,0,2,0,1,2,50.0,1,21,5,23.8,5,15,1,1,0,0,1,1,3,1,0
7,9ae9eaea,0b346a62,8cec06e1,"WB,LB",32-176,90,2,1,2,0,0,0,1,0.0,1,19,4,21.1,12,5,2,2,0,0,2,2,4,0,0
8,9a71e978,0b346a62,8cec06e1,"WB,RB",19-208,90,7,5,4,3,0,2,5,40.0,3,25,8,32.0,11,12,2,0,0,0,0,1,8,2,0
9,9fbbcf39,0b346a62,8cec06e1,CB,31-141,90,2,2,1,1,0,0,0,,0,7,4,57.1,2,3,2,0,0,0,0,3,5,4,0
10,2928dca2,0b346a62,8cec06e1,CB,28-170,90,2,2,1,1,0,1,3,33.3,2,8,4,50.0,8,0,0,1,1,0,0,1,3,3,0
11,d0f72bf1,0b346a62,8cec06e1,CB,24-083,89,3,0,3,0,0,1,1,100.0,0,6,1,16.7,4,2,0,0,0,0,0,3,6,7,0
12,e7aa9d7c,0b346a62,8cec06e1,FW,19-026,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
13,903b6e8b,0b346a62,8cec06e1,GK,28-209,90,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0
0,4ab53cdb,4eb36e37,943e8050,FW,32-016,69,3,2,1,2,0,0,0,,0,12,4,33.3,1,7,4,2,1,0,1,0,3,0,0
1,2691c772,4eb36e37,943e8050,FW,31-288,21,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0
