,player_id,match_id,team_id,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
0,e09f279b,3adf2aa7,cd051869,FW,25-150,90,10,21,47.6,173,87,5,9,55.6,4,6,66.7,1,5,20.0,0,0.1,1,5,1,0,3
1,6afaebf2,3adf2aa7,cd051869,FW,22-006,85,15,23,65.2,239,20,8,13,61.5,3,3,100.0,3,3,100.0,0,0.1,1,0,1,0,1
2,82c215a0,3adf2aa7,cd051869,FW,22-056,5,2,3,66.7,15,0,2,2,100.0,0,0,,0,1,0.0,0,0.0,0,0,0,0,0
3,8449d35e,3adf2aa7,cd051869,CM,23-095,90,22,29,75.9,400,110,10,12,83.3,10,13,76.9,2,3,66.7,0,0.0,0,3,1,0,4
4,2944f86f,3adf2aa7,cd051869,CM,23-224,79,13,14,92.9,191,49,7,7,100.0,5,5,100.0,1,2,50.0,0,0.1,1,0,2,0,3
5,407db0d5,3adf2aa7,cd051869,CM,20-169,11,3,3,100.0,58,7,2,2,100.0,0,0,,1,1,100.0,0,0.0,0,0,0,0,0
6,df0a4c90,3adf2aa7,cd051869,DM,27-156,90,24,36,66.7,428,167,11,18,61.1,10,11,90.9,3,6,50.0,0,0.0,0,4,0,0,4
7,8a3c1dc7,3adf2aa7,cd051869,WB,24-036,90,20,24,83.3,369,52,6,6,100.0,8,9,88.9,3,4,75.0,0,0.0,0,2,0,0,3
8,1137759d,3adf2aa7,cd051869,WB,24-192,90,13,22,59.1,264,197,7,8,87.5,2,2,100.0,4,9,44.4,0,0.2,1,1,1,0,1
9,e541326e,3adf2aa7,cd051869,CB,28-076,90,26,38,68.4,585,233,6,8,75.0,13,16,81.3,7,13,53.8,1,0.0,1,1,1,0,3
