,player_id,match_id,team_id,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received
0,e09f279b,3adf2aa7,cd051869,FW,25-150,90,29,1,7,14,11,2,28,1,2,50.0,1,0,17,31,7,0,0,0,2,2,51,21,41.2,6
1,6afaebf2,3adf2aa7,cd051869,FW,22-006,85,34,1,5,10,22,7,34,2,3,66.7,2,0,25,68,32,1,1,0,1,1,38,22,57.9,7
2,82c215a0,3adf2aa7,cd051869,FW,22-056,5,5,0,1,3,3,0,5,1,2,50.0,1,0,3,15,11,1,0,0,0,0,4,4,100.0,2
3,8449d35e,3adf2aa7,cd051869,CM,23-095,90,41,3,14,20,12,1,39,0,0,,0,0,24,81,26,2,1,1,5,1,26,21,80.8,4
4,2944f86f,3adf2aa7,cd051869,CM,23-224,79,22,1,5,11,8,2,22,1,1,100.0,1,0,13,58,14,0,1,0,1,1,15,12,80.0,2
5,407db0d5,3adf2aa7,cd051869,CM,20-169,11,9,2,6,3,0,0,9,0,0,,0,0,2,13,10,0,0,0,0,0,1,1,100.0,0
6,df0a4c90,3adf2aa7,cd051869,DM,27-156,90,43,0,10,28,7,2,40,1,1,100.0,1,0,23,89,39,2,1,0,0,0,23,20,87.0,1
7,8a3c1dc7,3adf2aa7,cd051869,WB,24-036,90,33,5,12,13,11,1,33,0,1,0.0,0,0,21,121,55,2,1,0,2,0,20,16,80.0,1
8,1137759d,3adf2aa7,cd051869,WB,24-192,90,37,1,17,15,9,2,35,0,0,,0,0,21,155,113,4,3,2,1,1,20,18,90.0,0
9,e541326e,3adf2aa7,cd051869,CB,28-076,90,50,9,32,14,6,0,39,0,0,,0,0,20,126,36,0,1,0,0,1,19,19,100.0,0
10,172e52d8,3adf2aa7,cd051869,CB,30-181,90,31,15,25,7,0,0,29,0,0,,0,0,14,83,28,0,0,0,0,0,14,14,100.0,0
11,a8c0acb7,3adf2aa7,cd051869,CB,23-118,70,35,3,12,18,5,1,31,1,1,100.0,1,0,21,72,33,3,0,0,0,0,19,18,94.7,0
12,30db8574,3adf2aa7,cd051869,CB,22-218,20,4,0,1,1,2,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
13,98ea5115,3adf2aa7,cd051869,GK,25-332,90,53,45,53,1,0,0,34,0,0,,0,0,24,129,61,0,0,0,0,0,22,21,95.5,0
0,31822f8c,3adf2aa7,18bb7c10,FW,20-041,58,16,0,0,8,9,5,16,0,1,0.0,0,0,14,40,8,1,0,1,4,1,29,14,48.3,6
1,bc7dc64d,3adf2aa7,18bb7c10,FW,19-342,32,32,0,5,13,19,6,30,2,2,100.0,2,0,27,169,105,7,2,2,4,2,27,25,92.6,6
2,48a5a5d6,3adf2aa7,18bb7c10,LW,20-056,70,22,1,1,11,12,3,21,0,1,0.0,0,0,14,51,21,1,1,0,2,1,23,17,73.9,5
3,c5bdb6e3,3adf2aa7,18bb7c10,"RW,LW",21-246,20,16,0,0,7,10,2,16,0,0,,0,0,11,44,14,0,0,0,1,0,12,11,91.7,3
4,57e3f0c7,3adf2aa7,18bb7c10,"RW,LW",26-076,90,57,1,6,15,40,9,52,2,3,66.7,2,0,45,246,96,7,1,2,2,2,51,42,82.4,11
5,17695062,3adf2aa7,18bb7c10,AM,21-016,90,59,0,5,31,34,5,58,2,3,66.7,2,0,50,369,209,11,9,3,2,1,56,50,89.3,5
6,e61b8aee,3adf2aa7,18bb7c10,DM,28-320,90,94,4,13,57,32,1,91,1,1,100.0,1,0,70,402,234,10,2,0,0,2,70,68,97.1,1
7,1b4f1169,3adf2aa7,18bb7c10,DM,21-295,90,82,2,19,42,27,0,80,0,0,,0,0,67,424,223,16,3,0,1,1,67,65,97.0,1
8,fce2302c,3adf2aa7,18bb7c10,LB,24-069,90,83,2,10,26,51,9,71,1,6,16.7,2,0,60,279,157,8,3,1,0,1,60,58,96.7,11
9,aa54ec6f,3adf2aa7,18bb7c10,CB,27-347,90,70,6,33,42,2,1,69,1,1,100.0,1,0,43,272,145,3,0,0,0,0,46,46,100.0,1
10,35e413f1,3adf2aa7,18bb7c10,CB,23-309,90,70,7,30,49,1,0,68,0,0,,0,0,44,261,111,0,0,0,2,0,45,45,100.0,0
11,dc6f5bdd,3adf2aa7,18bb7c10,RB,26-205,80,83,5,26,49,13,1,70,0,0,,0,0,52,182,88,4,2,0,1,2,53,53,100.0,0
12,a65c844b,3adf2aa7,18bb7c10,RB,21-199,10,16,1,4,7,7,0,14,1,2,50.0,1,0,10,42,26,2,0,0,0,2,9,9,100.0,1
13,2628fd2b,3adf2aa7,18bb7c10,GK,29-162,90,35,29,35,0,0,0,26,0,0,,0,0,23,111,42,0,0,0,0,0,23,23,100.0,0
0,58eee997,e62685d4,19538871,"FW,RW",19-317,90,42,0,4,21,23,2,40,4,5,80.0,4,1,33,194,138,6,3,2,3,4,40,29,72.5,5
1,867239d3,e62685d4,19538871,LW,28-152,74,48,2,6,26,21,2,47,4,6,66.7,4,0,39,137,81,5,1,0,3,2,48,37,77.1,5
2,8b788c01,e62685d4,19538871,FW,25-252,16,7,0,1,6,1,0,7,2,2,100.0,2,0,6,44,24,2,0,0,0,0,12,6,50.0,1
3,c931d9f9,e62685d4,19538871,RW,23-277,74,34,1,2,15,20,5,34,0,3,0.0,1,0,18,137,80,5,2,0,4,1,32,21,65.6,8
4,dbf053da,e62685d4,19538871,LW,21-142,16,14,0,3,9,5,0,13,1,2,50.0,1,0,12,47,32,1,1,0,0,0,18,12,66.7,0
5,507c7bdf,e62685d4,19538871,AM,26-340,90,41,0,3,22,20,4,39,0,1,0.0,0,0,28,193,76,4,2,0,0,2,44,32,72.7,8
6,b853e0ad,e62685d4,19538871,DM,28-162,90,51,3,9,34,9,1,50,0,1,0.0,0,0,28,106,60,3,1,0,3,0,35,34,97.1,1
7,d93c2511,e62685d4,19538871,DM,24-249,68,41,3,9,27,7,2,39,3,4,75.0,3,0,23,86,49,2,1,1,0,1,20,19,95.0,1
8,eb7822d7,e62685d4,19538871,DM,33-013,22,19,2,7,12,1,0,18,0,0,,0,0,11,62,43,2,1,0,0,0,11,11,100.0,0
9,9c94165b,e62685d4,19538871,LB,26-033,90,57,2,16,25,18,2,43,1,3,33.3,2,0,35,199,94,4,0,1,1,1,33,28,84.8,1
10,d8931174,e62685d4,19538871,CB,28-162,90,56,5,34,26,3,1,55,0,0,,0,0,36,374,294,9,2,0,0,0,39,39,100.0,0
11,f5deef4c,e62685d4,19538871,CB,27-028,90,68,17,41,31,3,0,68,0,0,,0,0,40,354,259,2,0,0,0,0,46,46,100.0,0
12,9e525177,e62685d4,19538871,RB,23-261,90,61,0,11,38,17,1,44,4,6,66.7,4,1,34,197,92,4,1,0,1,1,33,27,81.8,1
13,7ba6d84e,e62685d4,19538871,GK,30-280,90,36,34,36,0,0,0,23,0,0,,0,0,18,68,31,0,0,0,0,0,18,18,100.0,0
0,93feac6e,e62685d4,5bfb9659,FW,27-343,76,23,0,3,14,7,3,18,0,1,0.0,0,0,10,8,4,0,0,0,3,2,32,14,43.8,4
1,6c17e046,e62685d4,5bfb9659,FW,22-214,14,5,0,0,1,4,1,5,0,0,,0,0,6,13,7,0,0,0,1,0,6,4,66.7,2
2,1fb1c435,e62685d4,5bfb9659,AM,30-161,45,20,0,4,13,4,0,19,2,2,100.0,2,0,16,42,19,0,0,0,0,0,21,15,71.4,3
3,24f59bb2,e62685d4,5bfb9659,LB,24-357,45,37,1,14,20,5,0,30,0,1,0.0,0,0,22,78,52,2,1,0,1,0,24,22,91.7,0
4,aa849a12,e62685d4,5bfb9659,LM,24-267,68,30,1,8,15,9,0,30,0,0,,0,0,23,109,61,4,1,0,4,0,31,23,74.2,3
5,f13d02a6,e62685d4,5bfb9659,RM,27-214,22,6,0,1,3,2,0,6,0,0,,0,0,2,6,0,0,0,0,0,0,8,5,62.5,0
6,3423f250,e62685d4,5bfb9659,"RM,LM",24-243,90,66,1,5,39,23,4,58,1,3,33.3,2,1,39,148,62,3,0,1,4,1,53,40,75.5,4
7,282679b4,e62685d4,5bfb9659,"DM,AM",31-062,90,43,0,7,24,14,2,43,0,0,,0,0,30,160,88,5,1,0,1,0,45,33,73.3,9
8,ea6bc03a,e62685d4,5bfb9659,DM,25-028,90,32,4,15,18,0,0,32,1,1,100.0,1,0,21,87,46,0,0,0,0,0,18,14,77.8,0
9,67ca8566,e62685d4,5bfb9659,"LB,DM",30-117,90,47,5,18,21,13,0,42,1,1,100.0,1,0,27,196,97,6,3,0,0,2,34,29,85.3,3
10,dc64b8b3,e62685d4,5bfb9659,CB,29-349,90,60,10,48,13,3,1,59,0,0,,0,0,42,236,137,0,0,0,0,1,41,39,95.1,0
11,f4d296e4,e62685d4,5bfb9659,CB,22-003,90,62,15,51,13,0,0,62,0,0,,0,0,36,172,112,1,0,0,0,1,42,41,97.6,0
12,420d7c7d,e62685d4,5bfb9659,RB,29-354,90,86,5,46,36,9,2,80,1,2,50.0,1,0,52,223,111,5,1,0,2,1,56,54,96.4,1
13,6b625ac2,e62685d4,5bfb9659,GK,21-165,90,52,46,52,0,0,0,40,0,0,,0,0,27,155,75,0,0,0,0,0,27,27,100.0,0
0,45963054,0b346a62,a2d435b3,FW,34-215,90,26,0,1,7,19,7,26,2,2,100.0,2,0,21,155,98,6,0,2,0,3,47,19,40.4,8
1,3ea50f67,0b346a62,a2d435b3,"LW,AM",23-248,71,34,0,1,17,21,4,34,2,6,33.3,2,0,30,139,103,4,4,1,5,4,38,30,78.9,6
2,c92e1a31,0b346a62,a2d435b3,AM,24-315,19,15,1,2,7,8,0,15,0,0,,0,0,12,92,63,1,1,0,0,2,19,13,68.4,2
3,819aa8e7,0b346a62,a2d435b3,RW,28-022,61,29,0,5,15,10,1,28,0,1,0.0,0,0,21,68,47,4,1,0,2,0,32,24,75.0,5
4,1900032e,0b346a62,a2d435b3,CB,29-011,29,15,4,11,5,0,0,15,0,0,,0,0,10,61,43,1,0,0,0,0,13,10,76.9,0
5,ee38d9c5,0b346a62,a2d435b3,AM,24-264,61,28,0,2,18,9,2,27,0,0,,0,0,23,117,51,3,1,0,0,0,23,19,82.6,5
6,ae59b359,0b346a62,a2d435b3,AM,22-168,29,22,1,4,13,5,0,22,1,1,100.0,1,0,18,56,5,0,0,0,0,2,15,15,100.0,0
7,6b47c5db,0b346a62,a2d435b3,"CM,DM",24-241,90,81,1,22,53,10,0,80,1,1,100.0,1,0,53,184,73,4,1,0,0,2,57,55,96.5,0
8,56f7a928,0b346a62,a2d435b3,"CM,DM",24-099,90,95,4,24,57,20,0,89,1,1,100.0,1,0,63,211,132,5,4,0,0,0,78,75,96.2,2
9,fc027d02,0b346a62,a2d435b3,"LB,WB",20-065,90,87,3,24,48,18,0,72,0,2,0.0,1,0,56,194,119,5,0,0,1,2,61,57,93.4,0
10,21166ff4,0b346a62,a2d435b3,CB,25-083,90,95,14,57,42,1,0,93,0,0,,0,0,76,270,127,1,0,0,0,1,82,79,96.3,0
11,1a4ef233,0b346a62,a2d435b3,CB,26-236,90,80,10,41,39,1,0,80,0,0,,0,0,60,165,94,2,0,0,0,0,62,62,100.0,0
12,75a72a99,0b346a62,a2d435b3,"RB,WB",27-312,90,80,2,18,51,12,0,68,1,2,50.0,1,1,55,184,122,7,0,0,0,1,60,54,90.0,1
13,53af52f3,0b346a62,a2d435b3,GK,34-282,90,40,37,40,0,0,0,25,0,0,,0,0,15,49,23,0,0,0,0,0,16,16,100.0,0
0,b561db50,0b346a62,8cec06e1,FW,30-101,90,39,3,6,17,18,7,37,3,6,50.0,4,0,28,103,60,4,0,0,4,1,54,27,50.0,8
1,9a28eba4,0b346a62,8cec06e1,"LW,LM",25-201,90,42,0,5,20,23,7,42,8,13,61.5,8,0,44,297,205,9,2,5,4,1,42,34,81.0,9
2,77e39b04,0b346a62,8cec06e1,RW,21-228,85,37,0,7,17,19,4,36,4,8,50.0,5,1,31,117,55,5,1,0,2,2,43,29,67.4,7
3,32f60ed8,0b346a62,8cec06e1,"RW,RM",21-199,5,7,0,1,2,5,2,6,0,0,,0,0,2,13,12,1,1,0,0,0,4,4,100.0,2
4,f5a00fa4,0b346a62,8cec06e1,DM,34-340,65,44,2,9,28,8,0,41,0,0,,0,0,29,151,53,2,0,0,1,0,28,27,96.4,3
5,5a7301ae,0b346a62,8cec06e1,DM,26-121,25,15,2,6,7,2,0,15,0,0,,0,0,6,10,1,0,0,0,0,1,10,8,80.0,1
6,44bfb6c5,0b346a62,8cec06e1,DM,24-154,90,50,0,10,36,10,0,48,0,0,,0,0,37,184,94,2,1,0,0,1,36,36,100.0,3
7,9ae9eaea,0b346a62,8cec06e1,"WB,LB",32-176,90,61,1,19,30,17,1,55,1,1,100.0,1,0,35,183,123,6,3,1,0,1,40,38,95.0,3
8,9a71e978,0b346a62,8cec06e1,"WB,RB",19-208,90,66,2,17,35,17,2,53,0,1,0.0,0,0,36,193,132,6,1,2,1,0,42,35,83.3,2
9,9fbbcf39,0b346a62,8cec06e1,CB,31-141,90,68,7,39,27,8,3,67,0,0,,0,0,36,186,124,3,1,0,1,0,47,47,100.0,0
10,2928dca2,0b346a62,8cec06e1,CB,28-170,90,57,16,40,18,0,0,55,0,0,,0,0,30,143,77,0,0,0,1,0,39,37,94.9,0
11,d0f72bf1,0b346a62,8cec06e1,CB,24-083,89,75,8,44,27,9,2,72,1,1,100.0,1,0,47,246,161,6,2,0,0,0,53,52,98.1,1
12,e7aa9d7c,0b346a62,8cec06e1,FW,19-026,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
13,903b6e8b,0b346a62,8cec06e1,GK,28-209,90,21,20,21,0,0,0,18,0,0,,0,0,10,45,28,0,0,0,0,0,6,6,100.0,0
0,4ab53cdb,4eb36e37,943e8050,FW,32-016,69,20,1,4,11,7,1,20,1,1,100.0,1,0,11,141,46,2,1,0,0,0,25,10,40.0,4
1,2691c772,4eb36e37,943e8050,FW,31-288,21,4,0,0,3,1,0,4,0,0,,0,0,3,6,6,1,0,0,0,1,8,2,25.0,1
2,4e9a0555,4eb36e37,943e8050,FW,29-250,90,28,0,1,10,18,3,28,1,3,33.3,1,0,16,48,34,3,0,0,4,2,49,22,44.9,6
3,fc15fb84,4eb36e37,943e8050,LM,21-265,78,35,3,12,10,17,0,33,2,3,66.7,2,0,25,155,53,4,2,0,0,3,26,23,88.5,2
4,47369df8,4eb36e37,943e8050,"DM,LM",25-238,12,12,0,4,6,4,0,12,0,0,,0,0,5,40,6,0,1,0,0,0,7,6,85.7,1
5,f72293fc,4eb36e37,943e8050,"RM,LM",30-291,90,30,1,4,11,22,0,28,3,3,100.0,3,0,21,163,74,2,3,0,2,2,22,16,72.7,5
6,74e12f1e,4eb36e37,943e8050,DM,32-050,84,26,2,6,9,12,1,26,0,1,0.0,0,0,13,65,31,1,1,0,1,2,11,10,90.9,1
7,0d4ceb32,4eb36e37,943e8050,RM,29-105,6,4,0,0,0,4,2,4,0,0,,0,0,3,22,4,0,0,0,0,0,7,4,57.1,2
8,495945ef,4eb36e37,943e8050,DM,31-135,90,42,2,5,23,15,0,33,0,0,,0,0,19,112,78,3,1,0,0,0,23,20,87.0,0
9,cc2d7ad5,4eb36e37,943e8050,LB,27-330,90,66,3,24,25,21,1,53,1,2,50.0,1,0,34,281,133,4,1,0,0,1,33,31,93.9,1
10,8df7a2fb,4eb36e37,943e8050,CB,31-325,90,44,7,25,17,3,1,43,0,0,,0,0,21,137,55,2,0,0,0,0,18,18,100.0,0
11,15ea812b,4eb36e37,943e8050,CB,28-268,90,37,5,16,17,7,3,37,0,0,,0,0,14,81,48,0,1,0,0,1,17,15,88.2,0
12,9a9c05db,4eb36e37,943e8050,RB,32-066,90,54,2,13,21,20,0,45,0,1,0.0,1,0,29,148,82,7,0,0,0,1,29,29,100.0,1
13,4b40d9ca,4eb36e37,943e8050,GK,29-117,90,22,17,21,1,0,0,14,0,0,,0,0,8,61,33,0,0,0,0,0,4,4,100.0,0
0,4bcf39f6,4eb36e37,d07537b9,FW,25-000,90,33,1,2,14,17,4,31,0,0,,0,0,20,73,32,2,0,0,1,4,42,23,54.8,6
1,38ceb24a,4eb36e37,d07537b9,"LM,AM",26-253,75,38,0,5,22,14,2,36,3,6,50.0,4,0,33,278,189,9,0,0,0,2,35,32,91.4,3
2,83d074ff,4eb36e37,d07537b9,AM,22-233,15,7,1,1,3,3,1,7,0,0,,0,0,3,20,6,1,0,0,0,0,4,4,100.0,0
3,6c203af0,4eb36e37,d07537b9,"CM,DM",24-349,90,50,2,11,32,12,1,48,0,0,,0,0,38,329,169,5,1,0,1,0,42,39,92.9,0
4,1d5cab82,4eb36e37,d07537b9,CM,23-225,45,21,0,5,11,7,2,21,0,0,,0,0,17,70,17,0,0,0,2,0,29,18,62.1,4
5,99813635,4eb36e37,d07537b9,CM,33-096,45,36,1,5,26,6,1,35,0,0,,0,0,31,114,64,3,1,0,1,2,30,28,93.3,1
6,bb5fbd2b,4eb36e37,d07537b9,"RM,WB",27-025,90,50,0,14,15,23,1,45,0,0,,0,0,35,144,86,6,0,1,0,1,46,35,76.1,2
