,minute,player_id,team_id,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
0,2,fce2302c,3adf2aa7,Saved,33,Left Foot,,57e3f0c7,Pass (Live),e61b8aee,Pass (Live)
1,11,2944f86f,3adf2aa7,Off Target,7,Head,,6afaebf2,Pass (Live),8a3c1dc7,Pass (Live)
2,12,6afaebf2,3adf2aa7,Woodwork,16,Right Foot,,e09f279b,Pass (Live),2944f86f,Pass (Live)
3,16,dc6f5bdd,3adf2aa7,Wayward,20,Right Foot,Half volley,fce2302c,Pass (Live),e61b8aee,Pass (Live)
4,22,1137759d,3adf2aa7,Goal,17,Right Foot,,e541326e,Pass (Live),,
5,28,1137759d,3adf2aa7,Off Target,20,Right Foot,,2944f86f,Pass (Live),1137759d,Pass (Live)
6,30,6afaebf2,3adf2aa7,Off Target,13,Right Foot,,6afaebf2,Dribble,a8c0acb7,Pass (Live)
7,31,31822f8c,3adf2aa7,Off Target,9,Right Foot,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
8,33,57e3f0c7,3adf2aa7,Off Target,24,Left Foot,,48a5a5d6,Pass (Live),17695062,Pass (Live)
9,38,31822f8c,3adf2aa7,Off Target,24,Right Foot,,,,,
10,42,31822f8c,3adf2aa7,Wayward,9,Head,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
11,45+1,57e3f0c7,3adf2aa7,Blocked,16,Left Foot,,48a5a5d6,Pass (Live),17695062,Pass (Live)
12,51,17695062,3adf2aa7,Saved,17,Right Foot,,fce2302c,Pass (Live),35e413f1,Interception
13,60,1b4f1169,3adf2aa7,Saved,26,Left Foot,,57e3f0c7,Pass (Live),1b4f1169,Pass (Live)
14,64,fce2302c,3adf2aa7,Blocked,18,Right Foot,Half volley,bc7dc64d,Pass (Live),1b4f1169,Pass (Live)
15,65,48a5a5d6,3adf2aa7,Wayward,5,Head,,57e3f0c7,Pass (Dead),fce2302c,Shot
16,66,1137759d,3adf2aa7,Saved,16,Right Foot,,6afaebf2,Pass (Live),8449d35e,Pass (Live)
17,68,dc6f5bdd,3adf2aa7,Blocked,20,Right Foot,,e61b8aee,Pass (Live),bc7dc64d,Pass (Live)
18,70,e61b8aee,3adf2aa7,Off Target,14,Left Foot,Half volley,dc6f5bdd,Pass (Live),57e3f0c7,Pass (Live)
19,73,df0a4c90,3adf2aa7,Goal,3,Head,,,,,
20,76,fce2302c,3adf2aa7,Off Target,16,Left Foot,Volley,17695062,Pass (Live),fce2302c,Pass (Live)
21,77,57e3f0c7,3adf2aa7,Off Target,25,Left Foot,Free kick,fce2302c,Fouled,bc7dc64d,Pass (Live)
22,80,df0a4c90,3adf2aa7,Off Target,3,Head,,1137759d,Pass (Dead),8a3c1dc7,Pass (Live)
23,83,a65c844b,3adf2aa7,Off Target,27,Left Foot,,1b4f1169,Pass (Live),c5bdb6e3,Pass (Live)
24,86,e61b8aee,3adf2aa7,Off Target,27,Left Foot,,1b4f1169,Pass (Live),bc7dc64d,Pass (Live)
25,87,57e3f0c7,3adf2aa7,Saved,14,Left Foot,,fce2302c,Pass (Live),17695062,Pass (Live)
26,87,aa54ec6f,3adf2aa7,Off Target,4,Head,,17695062,Pass (Live),57e3f0c7,Pass (Dead)
27,90+1,1b4f1169,3adf2aa7,Off Target,31,Right Foot,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
28,90+2,c5bdb6e3,3adf2aa7,Blocked,18,Left Foot,Half volley,fce2302c,Pass (Live),fce2302c,Dribble
29,90+2,17695062,3adf2aa7,Off Target,17,Right Foot,,c5bdb6e3,Pass (Live),c5bdb6e3,Shot
0,2,d93c2511,e62685d4,Blocked,13,Right Foot,,507c7bdf,Pass (Live),c931d9f9,Pass (Live)
1,6,58eee997,e62685d4,Saved,25,Left Foot,,d93c2511,Pass (Live),507c7bdf,Pass (Live)
2,9,282679b4,e62685d4,Blocked,19,Right Foot,,aa849a12,Pass (Live),3423f250,Pass (Dead)
3,11,d8931174,e62685d4,Off Target,13,Head,,9c94165b,Pass (Dead),,
4,12,867239d3,e62685d4,Off Target,15,Left Foot,,58eee997,Pass (Live),58eee997,Dribble
5,15,c931d9f9,e62685d4,Blocked,17,Left Foot,Half volley,,,,
6,16,aa849a12,e62685d4,Saved,24,Left Foot,Half volley,,,,
7,16,282679b4,e62685d4,Saved,24,Right Foot,,aa849a12,Pass (Live),282679b4,Pass (Live)
8,26,93feac6e,e62685d4,Off Target,11,Head,,3423f250,Pass (Dead),aa849a12,Fouled
9,27,867239d3,e62685d4,Saved,33,Right Foot,,507c7bdf,Pass (Live),58eee997,Pass (Live)
10,30,507c7bdf,e62685d4,Goal,13,Left Foot,Half volley,867239d3,Pass (Live),d93c2511,Pass (Live)
11,33,9c94165b,e62685d4,Off Target,18,Left Foot,,507c7bdf,Pass (Live),9c94165b,Pass (Live)
12,34,3423f250,e62685d4,Blocked,21,Left Foot,,93feac6e,Pass (Live),67ca8566,Pass (Live)
13,36,c931d9f9,e62685d4,Off Target,16,Right Foot,,9c94165b,Pass (Live),,
14,42,507c7bdf,e62685d4,Blocked,28,Right Foot,,c931d9f9,Pass (Live),f5deef4c,Pass (Live)
15,45,c931d9f9,e62685d4,Saved,17,Right Foot,,867239d3,Pass (Live),58eee997,Pass (Live)
16,49,420d7c7d,e62685d4,Goal,26,Right Foot,,67ca8566,Pass (Live),24f59bb2,Pass (Dead)
17,52,58eee997,e62685d4,Goal,15,Left Foot,,867239d3,Pass (Live),9c94165b,Pass (Live)
18,54,507c7bdf,e62685d4,Goal,11,Left Foot,,867239d3,Pass (Live),b853e0ad,Pass (Live)
