,player_id,match_id,team_id,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles
0,e09f279b,3adf2aa7,cd051869,FW,25-150,90,0,0,0,0,0,0,0,0,29,24,0,0,1,0.0,0.0,0.1,1,0,10,21,47.6,3,17,0,1,2
1,6afaebf2,3adf2aa7,cd051869,FW,22-006,85,0,0,0,0,2,0,0,0,34,24,1,0,1,0.3,0.3,0.1,3,0,15,23,65.2,1,25,1,2,3
2,82c215a0,3adf2aa7,cd051869,FW,22-056,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,1,2
3,8449d35e,3adf2aa7,cd051869,CM,23-095,90,0,0,0,0,0,0,0,0,41,21,4,1,1,0.0,0.0,0.0,1,0,22,29,75.9,4,24,2,0,0
4,2944f86f,3adf2aa7,cd051869,CM,23-224,79,0,0,0,0,1,0,0,0,22,20,1,1,1,0.1,0.1,0.1,2,0,13,14,92.9,3,13,0,1,1
5,407db0d5,3adf2aa7,cd051869,CM,20-169,11,0,0,0,0,0,0,0,0,9,5,2,1,1,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
6,df0a4c90,3adf2aa7,cd051869,DM,27-156,90,1,0,0,0,2,1,0,0,43,16,2,4,0,0.7,0.7,0.0,0,0,24,36,66.7,4,23,2,1,1
7,8a3c1dc7,3adf2aa7,cd051869,WB,24-036,90,0,0,0,0,0,0,0,0,33,20,4,0,2,0.0,0.0,0.0,2,0,20,24,83.3,3,21,2,0,1
8,1137759d,3adf2aa7,cd051869,WB,24-192,90,1,0,0,0,3,2,0,0,37,25,6,1,2,0.2,0.2,0.2,2,0,13,22,59.1,1,21,4,0,0
9,e541326e,3adf2aa7,cd051869,CB,28-076,90,0,1,0,0,0,0,0,0,50,11,1,0,2,0.0,0.0,0.0,1,1,26,38,68.4,3,20,0,0,0
10,172e52d8,3adf2aa7,cd051869,CB,30-181,90,0,0,0,0,0,0,0,0,31,5,1,2,1,0.0,0.0,0.0,0,0,17,19,89.5,0,14,0,0,0
11,a8c0acb7,3adf2aa7,cd051869,CB,23-118,70,0,0,0,0,0,0,0,0,35,6,1,0,0,0.0,0.0,0.3,1,0,18,31,58.1,1,21,3,1,1
12,30db8574,3adf2aa7,cd051869,CB,22-218,20,0,0,0,0,0,0,0,0,4,4,1,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0
13,98ea5115,3adf2aa7,cd051869,GK,25-332,90,0,0,0,0,0,0,0,0,53,0,0,0,0,0.0,0.0,0.0,0,0,24,51,47.1,0,24,0,0,0
0,31822f8c,3adf2aa7,18bb7c10,FW,20-041,58,0,0,0,0,3,0,0,0,16,12,0,0,0,0.3,0.3,0.0,0,0,3,5,60.0,0,14,1,0,1
1,bc7dc64d,3adf2aa7,18bb7c10,FW,19-342,32,0,0,0,0,0,0,0,0,32,4,1,0,1,0.0,0.0,0.0,4,0,18,23,78.3,2,27,7,2,2
2,48a5a5d6,3adf2aa7,18bb7c10,LW,20-056,70,0,0,0,0,1,0,0,0,22,13,1,0,3,0.1,0.1,0.1,2,0,10,14,71.4,0,14,1,0,1
3,c5bdb6e3,3adf2aa7,18bb7c10,"RW,LW",21-246,20,0,0,0,0,1,0,0,0,16,8,1,1,0,0.0,0.0,0.0,3,0,10,11,90.9,1,11,0,0,0
4,57e3f0c7,3adf2aa7,18bb7c10,"RW,LW",26-076,90,0,0,0,0,4,1,0,0,57,11,2,0,1,0.3,0.3,0.1,5,0,35,43,81.4,0,45,7,2,3
