,player_id,match_id,team_id,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked
0,e09f279b,3adf2aa7,cd051869,FW,25-150,90,21,20,1,0,2,8,0,0,0,0,0,0,5,7,9,0,9,4,1,1,10,1,2,1,1
1,6afaebf2,3adf2aa7,cd051869,FW,22-006,85,23,23,0,0,0,5,1,2,0,0,0,0,14,5,4,15,5,0,0,2,15,0,0,4,2
2,82c215a0,3adf2aa7,cd051869,FW,22-056,5,3,3,0,0,0,1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,2,0,0,0,0
3,8449d35e,3adf2aa7,cd051869,CM,23-095,90,29,27,2,0,0,1,0,0,0,0,0,0,22,3,4,22,4,2,1,0,22,0,0,0,1
4,2944f86f,3adf2aa7,cd051869,CM,23-224,79,14,13,1,1,0,4,0,0,0,0,0,0,6,5,3,2,8,2,0,0,13,0,0,0,0
5,407db0d5,3adf2aa7,cd051869,CM,20-169,11,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,3,0,0,0,0
6,df0a4c90,3adf2aa7,cd051869,DM,27-156,90,36,33,3,2,0,5,1,0,0,0,0,0,18,7,11,9,20,5,1,0,24,0,1,6,0
7,8a3c1dc7,3adf2aa7,cd051869,WB,24-036,90,24,24,0,0,0,3,0,1,0,0,0,0,16,7,1,22,1,1,0,0,20,0,0,0,2
8,1137759d,3adf2aa7,cd051869,WB,24-192,90,22,20,2,0,0,3,1,1,2,2,0,0,9,5,8,1,20,1,0,0,13,0,1,1,4
9,e541326e,3adf2aa7,cd051869,CB,28-076,90,38,27,11,3,0,2,0,1,0,0,0,0,17,5,16,24,0,5,8,0,26,0,1,3,1
10,172e52d8,3adf2aa7,cd051869,CB,30-181,90,19,17,2,0,0,1,0,0,0,0,0,0,13,0,6,0,16,0,2,0,17,0,0,1,0
11,a8c0acb7,3adf2aa7,cd051869,CB,23-118,70,31,27,4,0,0,3,1,0,0,0,0,0,14,8,9,1,20,6,4,0,18,0,0,2,3
12,30db8574,3adf2aa7,cd051869,CB,22-218,20,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
13,98ea5115,3adf2aa7,cd051869,GK,25-332,90,51,32,19,3,0,4,2,0,0,0,0,0,11,0,40,8,34,0,0,5,24,0,5,1,0
0,31822f8c,3adf2aa7,18bb7c10,FW,20-041,58,5,5,0,0,0,3,0,0,0,0,0,0,3,1,1,0,5,0,0,0,3,0,0,1,0
1,bc7dc64d,3adf2aa7,18bb7c10,FW,19-342,32,23,21,2,0,0,3,1,1,1,0,1,0,19,3,1,15,8,0,0,0,18,0,0,1,1
2,48a5a5d6,3adf2aa7,18bb7c10,LW,20-056,70,14,13,1,0,0,4,0,0,0,0,0,0,8,4,2,2,9,0,1,0,10,0,1,0,0
3,c5bdb6e3,3adf2aa7,18bb7c10,"RW,LW",21-246,20,11,11,0,0,0,0,0,0,0,0,0,0,9,1,1,2,8,1,0,0,10,0,0,0,1
4,57e3f0c7,3adf2aa7,18bb7c10,"RW,LW",26-076,90,43,39,4,0,1,11,0,0,4,1,1,0,36,2,5,36,4,1,0,0,35,1,0,1,1
5,17695062,3adf2aa7,18bb7c10,AM,21-016,90,50,49,1,0,2,6,1,1,0,0,0,0,43,4,3,10,39,0,0,0,48,0,0,0,0
6,e61b8aee,3adf2aa7,18bb7c10,DM,28-320,90,84,81,3,2,0,13,4,0,0,0,0,0,62,13,9,65,12,3,0,0,78,0,0,0,1
7,1b4f1169,3adf2aa7,18bb7c10,DM,21-295,90,71,69,2,2,0,10,0,0,0,0,0,0,56,8,7,16,52,3,0,0,63,0,0,0,1
8,fce2302c,3adf2aa7,18bb7c10,LB,24-069,90,72,60,12,0,0,5,4,13,0,0,0,0,39,18,15,54,4,2,12,0,58,0,1,2,1
9,aa54ec6f,3adf2aa7,18bb7c10,CB,27-347,90,56,55,1,1,0,4,2,0,0,0,0,0,45,4,7,43,8,4,0,0,50,0,0,1,1
10,35e413f1,3adf2aa7,18bb7c10,CB,23-309,90,61,59,2,2,1,8,0,0,0,0,0,0,44,8,9,4,48,7,0,1,56,0,0,1,0
11,dc6f5bdd,3adf2aa7,18bb7c10,RB,26-205,80,72,58,14,3,0,9,0,1,0,0,0,0,47,16,9,1,55,2,11,1,62,0,2,1,1
12,a65c844b,3adf2aa7,18bb7c10,RB,21-199,10,7,4,3,1,0,0,0,0,0,0,0,0,5,2,0,4,1,0,2,0,7,0,0,0,0
13,2628fd2b,3adf2aa7,18bb7c10,GK,29-162,90,34,25,9,1,0,6,0,0,0,0,0,0,18,2,14,4,27,0,0,3,28,0,0,0,0
0,58eee997,e62685d4,19538871,"FW,RW",19-317,90,27,25,2,0,2,8,3,0,2,2,0,0,20,3,4,23,3,0,0,0,21,0,0,1,1
1,867239d3,e62685d4,19538871,LW,28-152,74,35,34,1,1,2,13,4,1,0,0,0,0,24,2,9,3,28,1,0,2,25,0,0,5,1
2,8b788c01,e62685d4,19538871,FW,25-252,16,7,7,0,0,0,3,0,0,0,0,0,0,6,1,0,0,6,0,0,1,5,0,0,0,1
